,日期,开盘,最高,最低,收盘,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2017-08-18,11.13,11.13,11.13,11.13,214,237726.0,0.0,43.98,3.4,0.05
1,2017-08-21,12.24,12.24,12.24,12.24,97,118667.0,0.0,9.97,1.11,0.02
2,2017-08-22,13.46,13.46,13.46,13.46,106,142676.0,0.0,9.97,1.22,0.02
3,2017-08-23,14.81,14.81,14.81,14.81,317,468944.0,0.0,10.03,1.35,0.07
4,2017-08-24,16.29,16.29,16.29,16.29,1144,1864032.0,0.0,9.99,1.48,0.24
5,2017-08-25,17.92,17.92,17.92,17.92,5005,8969677.0,0.0,10.01,1.63,1.06
6,2017-08-28,19.71,19.71,19.71,19.71,2692,5306149.0,0.0,9.99,1.79,0.57
7,2017-08-29,21.68,21.68,21.68,21.68,2516,5455360.0,0.0,9.99,1.97,0.54
8,2017-08-30,23.85,23.85,23.85,23.85,6886,16422132.0,0.0,10.01,2.17,1.47
9,2017-08-31,26.24,26.24,26.24,26.24,4149,10888236.0,0.0,10.02,2.39,0.88
10,2017-09-01,28.86,28.86,28.86,28.86,8234,23764074.0,0.0,9.98,2.62,1.75
11,2017-09-04,29.49,31.75,28.9,31.75,349966,1068517648.0,9.88,10.01,2.89,74.46
12,2017-09-05,28.58,29.55,28.58,28.58,189192,544846752.0,3.06,-9.98,-3.17,40.25
13,2017-09-06,26.99,28.54,26.0,27.0,146580,397835280.0,8.89,-5.53,-1.58,31.19
14,2017-09-07,26.9,27.81,26.5,27.35,123762,337958160.0,4.85,1.3,0.35,26.33
15,2017-09-08,27.0,27.09,25.06,25.15,131132,339514016.0,7.42,-8.04,-2.2,27.9
16,2017-09-11,25.0,26.16,24.1,25.65,102809,259711713.0,8.19,1.99,0.5,21.87
17,2017-09-12,25.14,26.7,25.01,26.08,105855,274785600.0,6.59,1.68,0.43,22.52
18,2017-09-13,26.59,28.5,26.59,28.1,187933,522683504.0,7.32,7.75,2.02,39.99
19,2017-09-14,27.54,27.54,26.4,26.43,137096,368023392.0,4.06,-5.94,-1.67,29.17
20,2017-09-15,26.1,26.13,24.61,25.37,98746,250664444.0,5.75,-4.01,-1.06,21.01
21,2017-09-18,25.0,25.14,24.18,24.68,60748,149319218.0,3.78,-2.72,-0.69,12.93
22,2017-09-19,24.56,25.26,24.56,24.81,52080,129779174.0,2.84,0.53,0.13,11.08
23,2017-09-20,24.69,25.67,23.83,25.65,94665,235482665.0,7.42,3.39,0.84,20.14
24,2017-09-21,25.21,25.64,24.59,24.61,53229,133689331.0,4.09,-4.05,-1.04,11.33
25,2017-09-22,24.2,24.98,24.0,24.33,44519,108600713.0,3.98,-1.14,-0.28,9.47
26,2017-09-25,24.21,24.67,24.2,24.35,32958,80384936.0,1.93,0.08,0.02,7.01
27,2017-09-26,24.43,24.45,22.23,22.78,68856,158715662.0,9.12,-6.45,-1.57,14.65
28,2017-09-27,22.5,22.88,22.33,22.49,29829,67344120.0,2.41,-1.27,-0.29,6.35
29,2017-09-28,22.67,23.17,22.21,22.36,46167,104429563.0,4.27,-0.58,-0.13,9.82
30,2017-09-29,22.36,22.57,21.65,21.73,47111,103604383.0,4.11,-2.82,-0.63,10.02
31,2017-10-09,22.03,22.49,21.8,22.08,34535,76404056.0,3.18,1.61,0.35,7.35
32,2017-10-10,22.01,23.07,21.92,22.9,54834,124514168.0,5.21,3.71,0.82,11.67
33,2017-10-11,23.0,23.33,22.53,22.61,42175,96732670.0,3.49,-1.27,-0.29,8.97
34,2017-10-12,22.41,22.77,21.91,22.28,29483,65862934.0,3.8,-1.46,-0.33,6.27
35,2017-10-13,22.11,22.7,22.02,22.57,24504,55075122.0,3.05,1.3,0.29,5.21
36,2017-10-16,22.52,22.6,21.87,21.95,26655,59164144.0,3.23,-2.75,-0.62,5.67
37,2017-10-17,22.0,22.45,21.92,22.09,21268,47211814.0,2.41,0.64,0.14,4.53
38,2017-10-18,22.05,22.3,21.48,21.51,25254,55302976.0,3.71,-2.63,-0.58,5.37
39,2017-10-19,21.48,21.72,20.37,20.51,37636,78207595.0,6.28,-4.65,-1.0,8.01
40,2017-10-20,20.39,20.71,20.24,20.59,18065,37083525.0,2.29,0.39,0.08,3.84
41,2017-10-23,20.6,20.85,20.51,20.72,17691,36546104.0,1.65,0.63,0.13,3.76
42,2017-10-24,20.78,20.78,20.04,20.27,21796,44414947.0,3.57,-2.17,-0.45,4.64
43,2017-10-25,20.14,20.74,20.14,20.68,27557,56635865.0,2.96,2.02,0.41,5.86
44,2017-10-26,20.7,20.97,20.5,20.71,26865,55854574.0,2.27,0.15,0.03,5.72
45,2017-10-27,20.85,20.99,20.42,20.63,19124,39586111.0,2.75,-0.39,-0.08,4.07
46,2017-10-30,20.43,20.5,19.54,19.61,26722,52971056.0,4.65,-4.94,-1.02,5.69
47,2017-10-31,19.58,19.99,19.5,19.79,14628,29004747.0,2.5,0.92,0.18,3.11
48,2017-11-01,19.8,20.33,19.75,20.32,23761,47884603.0,2.93,2.68,0.53,5.06
49,2017-11-02,20.36,20.39,19.92,20.3,21784,43924212.0,2.31,-0.1,-0.02,4.63
50,2017-11-03,20.19,20.31,19.92,20.16,18491,37208964.0,1.92,-0.69,-0.14,3.93
51,2017-11-06,20.4,20.87,20.33,20.8,37486,77490822.0,2.68,3.17,0.64,7.98
52,2017-11-07,20.78,21.38,20.69,21.36,51289,108513423.0,3.32,2.69,0.56,10.91
53,2017-11-08,21.51,21.68,21.21,21.27,46772,100141708.0,2.2,-0.42,-0.09,9.95
54,2017-11-09,21.0,21.52,20.75,21.39,33418,70912566.0,3.62,0.56,0.12,7.11
55,2017-11-10,21.35,21.35,20.85,20.87,29763,62544720.0,2.34,-2.43,-0.52,6.33
56,2017-11-13,20.7,20.88,20.4,20.52,21790,44999003.0,2.3,-1.68,-0.35,4.64
57,2017-11-14,20.52,20.59,19.75,19.83,26505,52976131.0,4.09,-3.36,-0.69,5.64
