,日期,开盘,最高,最低,收盘,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2016-03-31,16.37,19.64,16.37,19.64,141,274971.0,23.97,43.99,6.0,0.04
1,2016-04-01,21.6,21.6,21.6,21.6,55,118908.0,0.0,9.98,1.96,0.02
2,2016-04-05,23.76,23.76,23.76,23.76,25,59566.0,0.0,10.0,2.16,0.01
3,2016-04-06,26.14,26.14,26.14,26.14,92,241716.0,0.0,10.02,2.38,0.03
4,2016-04-07,28.75,28.75,28.75,28.75,79,226693.0,0.0,9.98,2.61,0.02
5,2016-04-08,31.63,31.63,31.63,31.63,143,450917.0,0.0,10.02,2.88,0.04
6,2016-04-11,34.79,34.79,34.79,34.79,103,358337.0,0.0,9.99,3.16,0.03
7,2016-04-12,38.27,38.27,38.27,38.27,147,562569.0,0.0,10.0,3.48,0.04
8,2016-04-13,42.1,42.1,42.1,42.1,615,2587129.0,0.0,10.01,3.83,0.18
9,2016-04-14,46.31,46.31,46.31,46.31,631,2923828.0,0.0,10.0,4.21,0.19
10,2016-04-15,50.94,50.94,50.94,50.94,1024,5214982.0,0.0,10.0,4.63,0.31
11,2016-04-18,56.03,56.03,56.03,56.03,1026,5746100.0,0.0,9.99,5.09,0.31
12,2016-04-19,61.63,61.63,61.63,61.63,635,3914059.0,0.0,9.99,5.6,0.19
13,2016-04-20,67.79,67.79,67.79,67.79,1967,13333615.0,0.0,10.0,6.16,0.59
14,2016-04-21,74.57,74.57,74.57,74.57,1631,12162143.0,0.0,10.0,6.78,0.49
15,2016-04-22,82.03,82.03,82.03,82.03,1791,14693377.0,0.0,10.0,7.46,0.53
16,2016-04-25,90.23,90.23,90.23,90.23,1821,16434221.0,0.0,10.0,8.2,0.54
17,2016-04-26,99.25,99.25,99.25,99.25,1604,15919700.0,0.0,10.0,9.02,0.48
18,2016-04-27,109.18,109.18,109.18,109.18,954,10411513.0,0.0,10.01,9.93,0.28
19,2016-04-28,120.1,120.1,120.1,120.1,6925,83167688.0,0.0,10.0,10.92,2.07
20,2016-04-29,132.11,132.11,123.71,123.75,227846,2942638656.0,6.99,3.04,3.65,68.01
21,2016-05-03,118.0,118.44,111.88,114.6,121336,1393733808.0,5.3,-7.39,-9.15,36.22
22,2016-05-04,115.06,119.8,114.5,115.3,89886,1049426960.0,4.62,0.61,0.7,26.83
23,2016-05-05,115.89,119.56,114.11,117.96,74090,869843600.0,4.73,2.31,2.66,22.12
24,2016-05-06,116.65,118.49,111.78,111.78,73718,846826912.0,5.69,-5.24,-6.18,22.01
25,2016-05-09,110.0,110.77,101.11,102.43,65127,688705888.0,8.64,-8.36,-9.35,19.44
26,2016-05-10,102.25,104.65,101.5,102.99,38815,399904736.0,3.08,0.55,0.56,11.59
27,2016-05-11,104.0,104.37,98.51,98.58,47259,474577008.0,5.69,-4.28,-4.41,14.11
28,2016-05-12,95.12,100.67,93.37,99.55,43768,425232432.0,7.41,0.98,0.97,13.07
29,2016-05-13,98.11,104.28,98.11,101.53,44353,449031872.0,6.2,1.99,1.98,13.24
30,2016-05-16,102.38,105.5,101.55,103.91,51806,536364608.0,3.89,2.34,2.38,15.46
31,2016-05-17,104.61,106.9,102.69,102.71,44685,468318400.0,4.05,-1.15,-1.2,13.34
32,2016-05-18,100.0,100.83,93.48,94.98,49126,475837456.0,7.16,-7.53,-7.73,14.66
33,2016-05-19,94.88,100.08,94.55,96.69,42785,418075072.0,5.82,1.8,1.71,12.77
34,2016-05-20,95.0,105.6,94.05,104.25,64332,651233392.0,11.95,7.82,7.56,19.2
35,2016-05-23,106.09,114.68,106.09,114.68,85053,950331984.0,8.24,10.0,10.43,25.39
36,2016-05-24,114.78,122.39,113.91,117.37,84172,988152176.0,7.39,2.35,2.69,25.13
37,2016-05-25,118.3,122.88,115.01,115.1,69434,823296256.0,6.71,-1.93,-2.27,20.73
38,2016-05-26,115.0,123.85,114.01,122.69,67802,799928368.0,8.55,6.59,7.59,20.24
39,2016-05-27,123.0,127.69,117.6,118.0,66100,809538688.0,8.22,-3.82,-4.69,19.73
40,2016-05-30,116.0,129.8,115.11,128.99,90794,1135385264.0,12.45,9.31,10.99,27.1
41,2016-05-31,127.0,133.55,125.0,130.02,101682,1316497488.0,6.63,0.8,1.03,30.35
42,2016-06-01,130.9,138.9,130.9,134.49,86019,1157725728.0,6.15,3.44,4.47,25.68
43,2016-06-02,133.0,137.03,130.56,135.7,57748,772272384.0,4.81,0.9,1.21,17.24
44,2016-06-03,133.51,143.58,133.3,133.7,76401,1058621968.0,7.58,-1.47,-2.0,22.81
45,2016-06-06,132.09,136.47,129.51,131.47,57374,761287104.0,5.21,-1.67,-2.23,17.13
46,2016-06-07,133.3,144.47,133.3,141.41,74371,1025672992.0,8.5,7.56,9.94,22.2
47,2016-06-08,138.0,140.45,133.01,136.0,66008,903447872.0,5.26,-3.83,-5.41,19.7
48,2016-06-13,132.8,143.99,129.19,129.19,87531,1192080880.0,10.88,-5.01,-6.81,26.13
49,2016-06-14,129.11,132.55,124.5,128.7,52129,670212544.0,6.23,-0.38,-0.49,15.56
50,2016-06-15,127.0,141.57,126.52,141.0,81419,1122324624.0,11.69,9.56,12.3,24.3
51,2016-06-16,140.0,143.66,136.82,143.06,69265,970865120.0,4.85,1.46,2.06,20.68
52,2016-06-17,143.83,153.12,143.8,146.55,70172,1034902320.0,6.51,2.44,3.49,20.95
53,2016-06-20,146.58,152.97,142.18,148.3,63721,941420336.0,7.36,1.19,1.75,19.02
54,2016-06-21,150.07,163.13,147.6,158.8,98773,1560039168.0,10.47,7.08,10.5,29.48
55,2016-06-22,157.74,159.9,147.66,152.1,83287,1277894848.0,7.71,-4.22,-6.7,24.86
56,2016-06-23,151.82,155.15,148.2,151.87,44879,682258016.0,4.57,-0.15,-0.23,13.4
57,2016-06-24,151.79,157.0,141.0,151.9,67872,1016623088.0,10.54,0.02,0.03,20.26
58,2016-06-27,151.0,167.09,151.0,166.55,72558,1175716208.0,10.59,9.64,14.65,21.66
59,2016-06-28,163.0,166.76,160.0,164.5,61681,1007172304.0,4.06,-1.23,-2.05,18.41
60,2016-06-29,166.5,172.58,164.01,167.63,52533,882156416.0,5.21,1.9,3.13,15.68
61,2016-06-30,159.0,161.8,150.87,150.87,78651,1217843504.0,6.52,-10.0,-16.76,23.48
62,2016-07-01,155.66,161.98,152.22,154.89,58151,913789184.0,6.47,2.66,4.02,17.36
63,2016-07-04,152.19,157.5,150.01,157.0,51637,795537456.0,4.84,1.36,2.11,15.41
64,2016-07-05,158.0,168.0,157.0,163.08,65335,1070234592.0,7.01,3.87,6.08,19.5
65,2016-07-06,160.9,163.77,156.5,158.92,47868,763522464.0,4.46,-2.55,-4.16,14.29
66,2016-07-07,157.99,161.73,152.5,159.0,43483,683074576.0,5.81,0.05,0.08,12.98
67,2016-07-08,158.4,162.63,157.02,157.27,34092,544555296.0,3.53,-1.09,-1.73,10.18
68,2016-07-11,157.01,159.21,143.0,144.84,57191,862870064.0,10.31,-7.9,-12.43,17.07
69,2016-07-12,145.11,146.47,136.0,145.1,53664,760224112.0,7.23,0.18,0.26,16.02
70,2016-07-13,143.99,148.75,141.5,142.85,43214,626677280.0,5.0,-1.55,-2.25,12.9
71,2016-07-14,141.09,145.1,140.06,142.52,30742,435648656.0,3.53,-0.23,-0.33,9.18
72,2016-07-15,143.55,148.11,142.61,144.24,41714,608854496.0,3.86,1.21,1.72,12.45
73,2016-07-18,142.92,142.92,138.0,138.92,30939,432724736.0,3.41,-3.69,-5.32,9.24
74,2016-07-19,137.0,140.89,136.86,140.2,19684,274511120.0,2.9,0.92,1.28,5.88
75,2016-07-20,143.6,148.7,143.6,146.53,48090,706024192.0,3.64,4.51,6.33,14.36
76,2016-07-21,144.65,146.91,141.18,141.3,33333,477900016.0,3.91,-3.57,-5.23,9.95
77,2016-07-22,141.5,144.9,139.88,140.68,24625,350293104.0,3.55,-0.44,-0.62,7.35
78,2016-07-25,140.08,142.0,134.28,136.41,31953,438387168.0,5.49,-3.04,-4.27,9.54
79,2016-07-26,136.6,138.95,135.0,138.2,20950,288675168.0,2.9,1.31,1.79,6.25
80,2016-07-27,138.3,138.3,124.58,124.9,49236,639118624.0,9.93,-9.62,-13.3,14.7
81,2016-07-28,124.03,125.5,116.22,122.44,38185,461659728.0,7.43,-1.97,-2.46,11.4
82,2016-07-29,122.45,124.7,118.03,120.88,27780,337760128.0,5.45,-1.27,-1.56,8.29
83,2016-08-01,118.0,118.6,112.01,114.82,26276,299778752.0,5.45,-5.01,-6.06,7.84
84,2016-08-02,114.8,117.5,114.45,117.16,21765,252593698.0,2.66,2.04,2.34,6.5
85,2016-08-03,116.8,125.6,115.88,122.95,43110,520754016.0,8.3,4.94,5.79,12.87
86,2016-08-04,122.0,123.9,120.86,122.11,25631,312812944.0,2.47,-0.68,-0.84,7.65
87,2016-08-05,122.2,124.25,119.45,119.7,20312,247363399.0,3.93,-1.97,-2.41,6.06
88,2016-08-08,117.83,121.61,115.81,121.22,19219,226909117.0,4.85,1.27,1.52,5.74
89,2016-08-09,121.29,127.0,120.52,126.42,36450,453748320.0,5.35,4.29,5.2,10.88
90,2016-08-10,125.69,129.48,125.22,126.0,28891,366810000.0,3.37,-0.33,-0.42,8.62
91,2016-08-11,125.03,128.62,123.68,123.69,25598,323431200.0,3.92,-1.83,-2.31,7.64
92,2016-08-12,123.61,125.95,123.02,123.87,20722,257764219.0,2.37,0.15,0.18,6.19
93,2016-08-15,124.02,133.25,123.02,130.79,38758,496724816.0,8.26,5.59,6.92,11.57
94,2016-08-16,129.92,134.6,129.92,132.95,33325,443029136.0,3.58,1.65,2.16,9.95
95,2016-08-17,131.88,141.88,131.0,139.4,51424,707787344.0,8.18,4.85,6.45,15.35
96,2016-08-18,138.12,143.7,137.51,138.36,45979,645655984.0,4.44,-0.75,-1.04,13.73
97,2016-08-19,138.38,147.97,138.38,144.99,48837,703207280.0,6.93,4.79,6.63,14.58
98,2016-08-22,145.1,145.99,133.0,133.01,46517,644192656.0,8.96,-8.26,-11.98,13.89
99,2016-08-23,134.88,146.31,133.51,142.88,69590,995153040.0,9.62,7.42,9.87,20.77
100,2016-08-24,140.8,144.98,138.0,138.02,47745,678240048.0,4.89,-3.4,-4.86,14.25
101,2016-08-25,137.6,148.5,136.05,145.9,68797,988884224.0,9.02,5.71,7.88,20.54
102,2016-08-26,145.0,147.79,142.58,144.99,45555,659054608.0,3.57,-0.62,-0.91,13.6
103,2016-08-29,145.15,149.75,142.0,146.1,41658,608176480.0,5.35,0.77,1.11,12.44
104,2016-08-30,146.21,146.7,141.8,142.12,28828,412478272.0,3.35,-2.72,-3.98,8.61
105,2016-08-31,142.3,142.71,135.2,139.2,33052,457889248.0,5.28,-2.05,-2.92,9.87
106,2016-09-01,139.19,141.0,136.01,136.48,26164,361640144.0,3.58,-1.95,-2.72,7.81
107,2016-09-02,136.48,140.8,135.85,139.7,28955,401099856.0,3.63,2.36,3.22,8.64
