,日期,开盘,最高,最低,收盘,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2010-11-23,1.26,4.15,0.85,1.96,277327,1005752427.23,-515.63,406.25,2.6,86.66
1,2010-11-24,1.29,1.73,1.29,1.29,193222,692489195.42,22.45,-34.18,-0.67,60.38
2,2010-11-25,1.39,1.9,1.31,1.9,165578,611246894.62,45.74,47.29,0.61,51.74
3,2010-11-26,1.7,2.56,1.67,2.56,184141,752120274.06,46.84,34.74,0.66,57.54
4,2010-11-29,2.58,3.16,2.39,2.83,146532,645261452.7,30.08,10.55,0.27,45.79
5,2010-11-30,2.66,3.23,2.44,2.83,136912,611878961.98,27.92,0.0,0.0,42.79
6,2010-12-01,2.61,3.3,2.59,3.2,117375,534065863.79,25.09,13.07,0.37,36.68
7,2010-12-02,3.27,3.43,2.86,2.96,98361,451280790.74,17.81,-7.5,-0.24,30.74
8,2010-12-03,2.8,2.85,2.2,2.24,103723,435924997.11,21.96,-24.32,-0.72,32.41
9,2010-12-06,2.12,2.44,2.01,2.22,66945,274248020.89,19.2,-0.89,-0.02,20.92
10,2010-12-07,2.19,2.19,1.67,1.96,69153,267966541.06,23.42,-11.71,-0.26,21.61
11,2010-12-08,1.91,2.2,1.89,1.96,49191,194295312.1,15.82,0.0,0.0,15.37
12,2010-12-09,1.88,1.88,1.52,1.56,53262,199617425.16,18.37,-20.41,-0.4,16.64
13,2010-12-10,1.67,1.86,1.57,1.81,43278,163015296.43,18.59,16.03,0.25,13.52
14,2010-12-13,1.87,2.15,1.71,2.02,58712,229816181.97,24.31,11.6,0.21,18.35
15,2010-12-14,2.01,2.69,1.89,2.56,98137,403141552.42,39.6,26.73,0.54,30.67
16,2010-12-15,2.45,2.68,2.24,2.29,77109,324452552.77,17.19,-10.55,-0.27,24.1
17,2010-12-16,2.29,2.54,2.22,2.34,43821,182624246.99,13.97,2.18,0.05,13.69
18,2010-12-17,2.27,2.4,2.23,2.27,30605,125814298.22,7.26,-2.99,-0.07,9.56
19,2010-12-20,2.26,2.35,1.72,1.99,40833,162128189.11,27.75,-12.33,-0.28,12.76
20,2010-12-21,1.96,2.04,1.86,2.0,25835,101106361.74,9.05,0.5,0.01,8.07
21,2010-12-22,2.02,2.31,1.91,2.19,37048,149121966.51,20.0,9.5,0.19,11.58
22,2010-12-23,2.12,2.51,2.09,2.43,62113,259121458.93,19.18,10.96,0.24,19.41
23,2010-12-24,2.36,2.47,1.89,1.89,44097,175585910.04,23.87,-22.22,-0.54,13.78
24,2010-12-27,1.94,2.01,1.54,1.65,31992,121779930.33,24.87,-12.7,-0.24,10.0
